SITE_ID,SITE_IGBP,month,TA_F_avg,VPD_F_avg,P_F_avg,NETRAD_avg,NEE_VUT_REF_avg,NEE_VUT_REF_QC_avg,NEE_CUT_REF_avg,NEE_CUT_REF_QC_avg,GPP_NT_VUT_REF_avg,GPP_DT_VUT_REF_avg,GPP_NT_CUT_REF_avg,GPP_DT_CUT_REF_avg,RECO_NT_VUT_REF_avg,RECO_DT_VUT_REF_avg,RECO_NT_CUT_REF_avg,RECO_DT_CUT_REF_avg,ET_avg,BESS_PAR_avg,BESS_PARdiff_avg,BESS_RSDN_avg,CSIF_SIFdaily_avg,CSIF_SIFinst_avg,PET_avg,Ts_avg,Tmean_avg,prcp_avg,vpd_avg,prcp_lag3_avg,ESACCI_sm_avg,b1_avg,b2_avg,b3_avg,b4_avg,b5_avg,b6_avg,b7_avg,EVI_avg,GCI_avg,NDVI_avg,NDWI_avg,NIRv_avg,kNDVI_avg,Percent_Snow_avg,Fpar_avg,Lai_avg,LST_Day_avg,LST_Night_avg,CO2_concentration_avg,dataset,MODIS_LC,MODIS_IGBP,MODIS_PFT,koppen_sub,koppen,hemisphere,LOCATION_LAT,LOCATION_LONG
AR-SLu,MF,1,27.866,22.5575,1.342,189.43463965,-5.63097,0.957661,-5.60975,0.9596775,10.079865,10.95108,9.997845,10.94816,4.32928,5.65853,4.366645,5.765395,7.6038803,153.5,41.0,334.5,0.16403178,0.414979635,-0.013073508,302.574405,299.828585,0.001772498,2.03664685,0.006010333,0.153384385,0.09253548,0.256977425,0.0494725795,0.08471935,0.295833885,0.26280321,0.173582255,0.32125923,2.05372285,0.470343115,-0.011007202,0.121492897,0.22022151,0.0,0.44,1.0,314.2,292.94,388.2825,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,2,25.6745,13.821,3.1785,144.7072039,-4.059005,0.97061,-4.04795,0.971354,8.41383,9.4218,8.306475,9.545365,4.23054,5.52517,4.243325,5.75019,7.7764213,121.5,43.0,262.0,0.15997129,0.42636281,-0.0092950615,298.639895,296.936525,0.002944978,1.1516008,0.0073267615,0.175047605,0.0867714225,0.2524607,0.045864285,0.07913214,0.28822319,0.24849107,0.15951427,0.27830008,2.19926095,0.488729185,0.007994725,0.12356264,0.235471735,0.0,0.445,0.95,309.2,291.96,388.6475,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,3,24.2735,14.146,0.644,128.89173435,-4.032335,0.908938,-4.034525,0.908938,7.418585,8.867375,7.399075,8.893495,3.38424,5.64335,3.36857,5.80582,5.717461,110.5,32.5,239.0,0.146427695,0.40985045,-0.0086858455,297.30115,295.82452,0.001617301,1.25924785,0.006334777,0.164725275,0.07812742,0.24211126,0.041369356,0.07207096,0.273061275,0.233709645,0.14571612,0.25689518,2.3697313,0.511243235,0.0172287225,0.124453005,0.2576048,0.0,0.465,0.95,308.53,290.36,389.065,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,4,18.45,9.185,0.1,71.50069342,-3.11159,0.9625,-3.10705,0.9625,5.72781,6.54333,5.6526,6.6073,2.55268,4.14082,2.54582,4.04346,2.3456645,81.0,27.0,175.0,0.076728895,0.22387202,-0.00675834,291.69604,290.61377,2.09161E-4,0.9461956,0.005547076,0.12401654,0.08740333,0.21581332,0.0453,0.074543335,0.26009,0.23482999,0.14688666,0.22921446,1.8959624,0.42358848,-0.042024087,0.09139932,0.17754844,0.0,0.36,0.5,303.24,286.34,388.905,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,5,13.493,5.823,1.852,41.24914909,-1.71633,0.895833,-1.55985,0.913978,3.47763,4.15484,3.56473,4.16886,1.78421,3.35165,1.84822,3.54627,2.2079997,56.0,19.0,122.0,0.066020064,0.20063505,-0.004725121,287.05652,286.8832,8.41617E-4,0.7162909,0.003256932,0.14272605,0.076190315,0.19819355,0.03887419,0.06480969,0.23148388,0.20281611,0.124199994,0.22352917,2.0611055,0.4453674,-0.010640754,0.08814689,0.19591969,0.0,0.37,0.5,296.2,277.82,389.32,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,6,11.273,5.219,0.03,30.2579338,-0.156183,0.94375,-0.105029,0.926389,2.77385,3.77937,2.97199,3.69195,2.86141,3.07628,2.83905,3.19315,1.7267979,48.0,15.0,105.0,0.055993885,0.17740785,-0.003966339,284.32104,284.76154,2.66855E-4,0.57913876,0.001317633,0.15315518,0.071046665,0.17955999,0.038123343,0.06306333,0.21496001,0.19131334,0.12397998,0.20550561,1.8486056,0.4330553,-0.0314929,0.07776146,0.1854466,0.0,0.33,0.4,293.18,276.8,389.16,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,7,8.131,4.949,0.003,46.75980628,-1.64934,0.964382,-1.6375,0.966398,3.74133,4.96256,3.88709,4.70483,2.16416,3.1695,2.23946,2.74352,1.7385347,58.0,15.0,129.0,0.044577617,0.14184037,-0.004890211,282.39343,282.44458,6.62E-5,0.6524327,0.00117464,0.11506776,0.07951935,0.17683226,0.042067744,0.06696773,0.21454516,0.2047129,0.13839355,0.18182558,1.6429125,0.3800115,-0.07298639,0.067186974,0.14383936,0.0,0.32,0.4,292.12,271.64,388.495,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,8,12.124,7.232,0.148,55.41014468,-2.23663,0.978495,-2.22838,0.978495,4.9923,4.62644,4.95418,4.64296,2.7185,2.09411,2.71076,2.00605,1.7703171,72.0,23.0,158.0,0.03940548,0.118864134,-0.006607018,285.98975,285.50317,3.56059E-4,0.8266134,6.89082E-4,0.12942678,0.09146129,0.18079355,0.048974194,0.075180635,0.22952907,0.23047417,0.1616032,0.16395012,1.4065467,0.3283708,-0.12023627,0.05933451,0.10749994,0.0,0.26,0.3,298.98,276.72,387.915,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,9,16.113,9.808,1.283,86.53253167,-2.95153,0.963889,-2.95475,0.964583,6.2686,6.19395,6.08643,6.33314,3.13943,2.84475,3.13342,3.08513,2.7933466,92.0,30.0,202.0,0.043048184,0.118709184,-0.007369228,289.56998,288.48505,0.002409217,0.89762795,0.002831445,0.14007734,0.101566665,0.1950833,0.05354333,0.08152667,0.25225836,0.2574,0.18707831,0.16664456,1.3936689,0.3154251,-0.13769455,0.061513435,0.09918764,0.0,0.25,0.4,303.02,281.76,387.31,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
AR-SLu,MF,10,19.115,12.24,2.671,139.2401875,-3.73166,0.953629,-3.73326,0.959677,7.98788,8.25182,7.96167,8.14738,4.20854,4.47926,4.21798,4.50649,4.8010826,124.0,35.0,271.0,0.076557115,0.19472006,-0.009151526,292.5633,291.09125,0.002530932,1.0285672,0.005296208,0.16722338,0.10122257,0.21530966,0.05306129,0.0860129,0.26885805,0.26544514,0.18909998,0.19995353,1.5004112,0.3590074,-0.10536736,0.077747405,0.1290034,0.0,0.32,0.6,305.08,283.92,387.55,FLUXNET,7,OSH,SH,BSk,Arid,S,-33.4648,-66.4598
