TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,26.175,0.0,500.127,273.424,0.0,388.106,0.0,13.709,0.0,99.674,0.0,2.667,0.0,2.102,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.504,0.0,-9999,-9999,-0.719412,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200902,27.047,0.0,463.315,240.578,0.0,404.478,0.0,12.953,0.0,99.59,0.0,2.963,0.0,1.854,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.204,0.0,-9999,-9999,-1.32655,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200903,26.434,0.0,401.033,231.365,0.0,386.608,0.0,13.992,0.0,99.675,0.0,1.04,0.0,1.736,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.096,0.0,-9999,-9999,-1.39917,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200904,23.916,0.0,325.502,192.067,0.0,359.448,0.0,13.59,0.0,100.074,0.0,0.759,0.0,1.957,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.27,0.0,-9999,-9999,-1.14244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200905,19.553,0.0,261.211,123.103,0.0,357.655,0.0,7.901,0.0,100.089,0.0,4.332,0.0,2.168,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.504,0.0,-9999,-9999,-0.719412,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200906,14.028,0.0,229.455,120.309,0.0,311.278,0.0,5.456,0.0,100.425,0.0,2.819,0.0,2.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.27,0.0,-9999,-9999,-1.14244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200907,12.922,0.0,241.303,122.884,0.0,309.81,0.0,5.356,0.0,100.459,0.0,3.633,0.0,2.071,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.21,0.0,-9999,-9999,-1.30873,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200908,17.969,0.0,292.399,147.726,0.0,345.379,0.0,7.397,0.0,100.177,0.0,4.527,0.0,2.578,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.096,0.0,-9999,-9999,-1.39917,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200909,18.317,0.0,363.401,169.893,0.0,354.07,0.0,6.705,0.0,100.106,0.0,6.233,0.0,2.504,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.27,0.0,-9999,-9999,-1.14244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200910,21.735,0.0,433.362,244.643,0.0,360.257,0.0,9.589,0.0,99.759,0.0,3.106,0.0,2.546,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.504,0.0,-9999,-9999,-0.719412,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200911,26.526,0.0,484.597,215.21,0.0,415.693,0.0,9.773,0.0,99.231,0.0,6.109,0.0,2.551,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,144.27,0.0,-9999,-9999,-1.14244,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200912,26.562,0.549731,507.673,258.279,0.000672043,400.879,0.0,11.802,0.548387,99.507,0.548387,6.972,0.0,2.456,0.547043,0.325127420566,0.545698924731,185.259094359,0.547043010753,-9999,-9999,421.576,0.549731,-9999,1.0,143.032,0.546371,-9999,0.86049,-1.48522,0.548387,-9999,0.858739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201001,27.268,1.0,500.127,254.172,0.453629,404.37,0.0,12.896,1.0,99.558,1.0,4.505,0.0,2.539,0.995968,0.328163474365,0.992607526882,172.386335266,0.999327956989,-9999,-9999,423.131,1.0,-9999,1.0,134.7,0.955645,-9999,0.586929,-3.0587,0.959005,-9999,0.541265,-1.57236,0.0,0.577009,-1.40027,-1.32317,-1.22637,0.0,0.0,0.0,19.5196,16.5883,18.1556,18.5976,20.1548,17.9621,19.4079,19.8961,3.54952,3.51879,3.5557,3.5815,7.94402,7.54724,7.9252,7.94679,-9999,-9999
201002,27.906,1.0,463.315,230.068,0.482143,412.038,0.0,13.868,0.997768,99.572,0.997768,4.797,0.0,2.779,0.997024,0.368193975954,0.997767857143,148.731503386,0.991071428571,-9999,-9999,424.03,1.0,-9999,1.0,140.926,0.96875,-9999,0.785418,-24.2722,0.971726,-9999,0.619419,-0.811887,0.602679,0.172166,-0.812983,-0.677895,-0.449652,0.604167,0.603423,0.627976,19.2948,18.172,18.8321,19.1494,19.6938,18.8148,19.336,19.7906,3.74995,3.71748,3.75648,3.78374,7.01708,6.7048,6.99667,7.01965,-9999,-9999
