"SITE_ID","SITE_IGBP","month","TA_F_avg","VPD_F_avg","P_F_avg","NETRAD_avg","NEE_VUT_REF_avg","NEE_VUT_REF_QC_avg","NEE_CUT_REF_avg","NEE_CUT_REF_QC_avg","GPP_NT_VUT_REF_avg","GPP_DT_VUT_REF_avg","GPP_NT_CUT_REF_avg","GPP_DT_CUT_REF_avg","RECO_NT_VUT_REF_avg","RECO_DT_VUT_REF_avg","RECO_NT_CUT_REF_avg","RECO_DT_CUT_REF_avg","ET_avg","BESS-PAR_avg","BESS-PARdiff_avg","BESS-RSDN_avg","CSIF-SIFdaily_avg","CSIF-SIFinst_avg","PET_avg","Ts_avg","Tmean_avg","prcp_avg","vpd_avg","prcp-lag3_avg","ESACCI-sm_avg","b1_avg","b2_avg","b3_avg","b4_avg","b5_avg","b6_avg","b7_avg","EVI_avg","GCI_avg","NDVI_avg","NDWI_avg","NIRv_avg","kNDVI_avg","Percent_Snow_avg","Fpar_avg","Lai_avg","LST_Day_avg","LST_Night_avg","CO2_concentration_avg","dataset","MODIS_IGBP","MODIS_PFT","koppen_sub","koppen","hemisphere","LOCATION_LAT","LOCATION_LONG"
"AR-SLu","MF",1,28.493,23.378,0.903,188.598814,-5.63278,0.944892,-5.6277,0.948253,10.2095,11.9133,10.089,11.9232,4.46072,7.03163,4.45634,7.06081,9.01454,154,40,336,0.20432499,0.51662683,-0.013386652,302.46967,300.10977,0.002115019,2.06618,0.008738702,0.15152083,0.0844258,0.26877418,0.045316122,0.08052903,0.30057743,0.2505258,0.15535806,0.32125923,2.3492026,0.5227052,0.035415366,0.14050612,0.26745087,0,0.49,1.2,313.84,293.58,387.11,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",2,26.673,14.369,1.986,144.2162024,-4.47433,0.969494,-4.45358,0.970982,8.16307,9.97563,8.09051,10.1663,3.62522,5.68557,3.6153,6.02964,7.6779733,120,46,258,0.1455303,0.38726252,-0.008937791,298.78864,297.27515,0.003131761,1.0901145,0.009724296,0.16655783,0.0918,0.2524464,0.04803214,0.08092143,0.29244998,0.25221428,0.15945713,0.27830008,2.1216552,0.46684337,0.000400779,0.11781442,0.21459042,0,0.43,0.9,309.86,292.96,387.675,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",3,25.744,15.167,0.371,125.6431374,-3.89288,0.938844,-3.88405,0.938844,7.06222,9.00824,7.07681,9.00492,3.18909,6.51721,3.18613,6.61985,5.890317,107,31,231,0.10980482,0.30724174,-0.008132122,297.54816,296.4367,0.002206154,1.1686398,0.007452934,0.16407675,0.08556129,0.23039998,0.04453871,0.074638695,0.26943222,0.24116449,0.1536387,0.25689518,2.0874314,0.45834532,-0.022856813,0.10565167,0.20721813,0,0.41,0.8,309.18,290.52,388.195,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",4,18.45,9.185,0.1,71.50069342,-3.11159,0.9625,-3.10705,0.9625,5.72781,6.54333,5.6526,6.6073,2.55268,4.14082,2.54582,4.04346,2.3456645,81,27,175,0.076728895,0.22387202,-0.00675834,291.69604,290.61377,0.000209161,0.9461956,0.005547076,0.12401654,0.08740333,0.21581332,0.0453,0.074543335,0.26009,0.23482999,0.14688666,0.22921446,1.8959624,0.42358848,-0.042024087,0.09139932,0.17754844,0,0.36,0.5,303.24,286.34,388.905,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",5,13.493,5.823,1.852,41.24914909,-1.71633,0.895833,-1.55985,0.913978,3.47763,4.15484,3.56473,4.16886,1.78421,3.35165,1.84822,3.54627,2.2079997,56,19,122,0.066020064,0.20063505,-0.004725121,287.05652,286.8832,0.000841617,0.7162909,0.003256932,0.14272605,0.076190315,0.19819355,0.03887419,0.06480969,0.23148388,0.20281611,0.124199994,0.22352917,2.0611055,0.4453674,-0.010640754,0.08814689,0.19591969,0,0.37,0.5,296.2,277.82,389.32,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",6,11.273,5.219,0.03,30.2579338,-0.156183,0.94375,-0.105029,0.926389,2.77385,3.77937,2.97199,3.69195,2.86141,3.07628,2.83905,3.19315,1.7267979,48,15,105,0.055993885,0.17740785,-0.003966339,284.32104,284.76154,0.000266855,0.57913876,0.001317633,0.15315518,0.071046665,0.17955999,0.038123343,0.06306333,0.21496001,0.19131334,0.12397998,0.20550561,1.8486056,0.4330553,-0.0314929,0.07776146,0.1854466,0,0.33,0.4,293.18,276.8,389.16,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",7,8.131,4.949,0.003,46.75980628,-1.64934,0.964382,-1.6375,0.966398,3.74133,4.96256,3.88709,4.70483,2.16416,3.1695,2.23946,2.74352,1.7385347,58,15,129,0.044577617,0.14184037,-0.004890211,282.39343,282.44458,6.62e-05,0.6524327,0.00117464,0.11506776,0.07951935,0.17683226,0.042067744,0.06696773,0.21454516,0.2047129,0.13839355,0.18182558,1.6429125,0.3800115,-0.07298639,0.067186974,0.14383936,0,0.32,0.4,292.12,271.64,388.495,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",8,12.124,7.232,0.148,55.41014468,-2.23663,0.978495,-2.22838,0.978495,4.9923,4.62644,4.95418,4.64296,2.7185,2.09411,2.71076,2.00605,1.7703171,72,23,158,0.03940548,0.118864134,-0.006607018,285.98975,285.50317,0.000356059,0.8266134,0.000689082,0.12942678,0.09146129,0.18079355,0.048974194,0.075180635,0.22952907,0.23047417,0.1616032,0.16395012,1.4065467,0.3283708,-0.12023627,0.05933451,0.10749994,0,0.26,0.3,298.98,276.72,387.915,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",9,16.113,9.808,1.283,86.53253167,-2.95153,0.963889,-2.95475,0.964583,6.2686,6.19395,6.08643,6.33314,3.13943,2.84475,3.13342,3.08513,2.7933466,92,30,202,0.043048184,0.118709184,-0.007369228,289.56998,288.48505,0.002409217,0.89762795,0.002831445,0.14007734,0.101566665,0.1950833,0.05354333,0.08152667,0.25225836,0.2574,0.18707831,0.16664456,1.3936689,0.3154251,-0.13769455,0.061513435,0.09918764,0,0.25,0.4,303.02,281.76,387.31,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
"AR-SLu","MF",10,19.115,12.24,2.671,139.2401875,-3.73166,0.953629,-3.73326,0.959677,7.98788,8.25182,7.96167,8.14738,4.20854,4.47926,4.21798,4.50649,4.8010826,124,35,271,0.076557115,0.19472006,-0.009151526,292.5633,291.09125,0.002530932,1.0285672,0.005296208,0.16722338,0.10122257,0.21530966,0.05306129,0.0860129,0.26885805,0.26544514,0.18909998,0.19995353,1.5004112,0.3590074,-0.10536736,0.077747405,0.1290034,0,0.32,0.6,305.08,283.92,387.55,"FLUXNET","OSH","SH","BSk","Arid","S",-33.4648,-66.4598
