encoder_index,month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_attention
-336,0.013813533,0.009184396,0.0059047486,0.0029824774,0.1278859,0.031881925,0.12051469,0.014924119,0.0126559045,0.01971122,0.034002412,0.024600785,0.014328543,0.025081787,0.0117441425,0.025674174,0.0032476953,0.002984502,0.02091263,0.015005205,0.015366911,0.004780859,0.020323534,0.018388487,0.012349091,0.009047269,0.01999877,0.0070484476,0.002290357,0.020266911,0.0029208763,0.03509065,0.02023533,0.015224476,0.015681926,0.17539245,0.06855291,0.08271762
-335,0.014087382,0.009477155,0.006145569,0.0028677883,0.126386,0.031595282,0.114280514,0.014883736,0.012595848,0.019651225,0.034827117,0.023929102,0.014498061,0.024106974,0.012238014,0.02601072,0.0032515423,0.002967736,0.021447996,0.015240915,0.015400092,0.0048171133,0.020401046,0.018315215,0.012269946,0.008826116,0.0202946,0.007149784,0.0023065235,0.02083684,0.0028504778,0.034924876,0.021057962,0.015207631,0.015770521,0.17783464,0.07124798,0.01403862
-334,0.014113517,0.009414156,0.0062480774,0.003002615,0.13096361,0.03077327,0.11456908,0.015080062,0.012793597,0.020356983,0.03549232,0.025444303,0.014507472,0.026044978,0.012000442,0.025687173,0.003362083,0.002836133,0.020943154,0.015059612,0.015478123,0.0046360507,0.020289084,0.017647715,0.012454727,0.009105428,0.02015785,0.007066382,0.0022585813,0.020586075,0.002894304,0.03615095,0.020613864,0.01594914,0.015782066,0.17036445,0.069872536,0.004164715
-333,0.014273622,0.009603911,0.00593088,0.0031973324,0.1292528,0.029732475,0.12005647,0.015280735,0.012995479,0.020944176,0.034916766,0.025970004,0.014616603,0.028380709,0.011091051,0.024926156,0.0036174331,0.0026986152,0.020465309,0.014617774,0.015525424,0.0043505183,0.020098573,0.016591202,0.012637214,0.009463455,0.019945517,0.0071408264,0.0022023104,0.019761806,0.0029322568,0.035132617,0.02008527,0.016574334,0.015446464,0.17235178,0.06719212,0.0015233059
-332,0.014593304,0.009259198,0.0058405097,0.0031720006,0.12948601,0.028360847,0.11969987,0.015392811,0.013117994,0.021189524,0.03520633,0.026069911,0.014562002,0.029258544,0.011192511,0.025367688,0.003659366,0.0027283747,0.019979643,0.014461056,0.015622029,0.0043452876,0.02020218,0.016976934,0.012761112,0.009724941,0.019944489,0.007053374,0.0021252423,0.019920249,0.0030327882,0.03587792,0.019243708,0.016906973,0.015431088,0.17248143,0.065752745,0.0008754921
-331,0.013795736,0.009265014,0.0062236837,0.0028480734,0.13626069,0.030215882,0.10969812,0.014743388,0.012638155,0.019770684,0.034798548,0.025038004,0.014317936,0.02540267,0.012214888,0.026377711,0.0032049445,0.0028677515,0.021832382,0.01530651,0.015417411,0.005033997,0.02067009,0.019663405,0.012267874,0.008579541,0.020344172,0.0070166597,0.00236426,0.020979298,0.0029035748,0.0359122,0.020259663,0.01536882,0.016041564,0.1718674,0.06848928,0.0007452019
-330,0.013905238,0.009761294,0.0065346137,0.0029553443,0.14048803,0.030388575,0.11161345,0.014916757,0.012662837,0.020080995,0.035928845,0.024183711,0.014449384,0.023579622,0.01196264,0.025910622,0.0033666117,0.0028352153,0.021970142,0.0154150855,0.015479784,0.005039321,0.02047717,0.018779526,0.012283408,0.0085163275,0.0204455,0.0068038213,0.0023202724,0.02112188,0.0027242464,0.03572729,0.021441553,0.015934147,0.01590486,0.16317593,0.070916004,0.0006096932
-329,0.014216626,0.009805509,0.0057789944,0.0031863695,0.11174672,0.032754265,0.12699868,0.01446215,0.012137553,0.019013796,0.034976367,0.019870875,0.014068885,0.01944966,0.013475845,0.029059673,0.00351636,0.0029215242,0.022895673,0.015847765,0.015078938,0.0044370503,0.020134924,0.018003166,0.011762697,0.008584606,0.02044123,0.0065455628,0.00245706,0.02130356,0.0026610957,0.036050644,0.022437574,0.013642537,0.016224671,0.18775019,0.06630118,0.0005650327
-328,0.017031938,0.004994404,0.016735211,0.011817713,0.14900793,0.037483502,0.07259355,0.021982139,0.016840493,0.016307091,0.04569112,0.03503178,0.01740301,0.007097343,0.020967258,0.025344968,0.0029265736,0.014507186,0.06926382,0.017032314,0.020046672,0.024379557,0.026423845,0.028541468,0.016765343,0.012626374,0.025297986,0.0015397579,0.001527927,0.030222893,0.0021550893,0.027746215,0.033946697,0.0098449495,0.019234173,0.012052619,0.08758912,0.0005671749
-327,0.014152257,0.0042263577,0.02307864,0.018750016,0.09984076,0.032595426,0.05887641,0.027963849,0.01834404,0.0117086,0.031668503,0.030549433,0.01649284,0.0048021544,0.02049163,0.018862918,0.002505889,0.020751106,0.14163156,0.018886236,0.020946087,0.031022752,0.026197162,0.027167477,0.018582212,0.013429175,0.024924204,0.0014275954,0.002383311,0.0367139,0.0029360708,0.02119832,0.032197423,0.008257566,0.020123154,0.006294405,0.0900207,0.00041341298
-326,0.011278661,0.0036755092,0.023758873,0.022711819,0.08470908,0.030923048,0.05644734,0.028959515,0.018114895,0.010408343,0.024767345,0.028015167,0.015061778,0.0046252753,0.018559763,0.01595106,0.0022674291,0.021486852,0.18778943,0.018362047,0.02026929,0.028749237,0.024445856,0.025206229,0.018424122,0.012853468,0.023431584,0.0014341018,0.0032488639,0.03797308,0.0031578068,0.018294852,0.030952001,0.007721729,0.019490665,0.005957404,0.09051655,0.0004043502
-325,0.0068720905,0.002825736,0.020481242,0.021245923,0.054361057,0.021837095,0.0390121,0.025528854,0.015417957,0.005935026,0.017185496,0.020632908,0.008967598,0.003531439,0.014060293,0.0087860515,0.001978506,0.02070013,0.36514512,0.016562797,0.016692534,0.021590509,0.01920255,0.01937481,0.01585442,0.011560948,0.018381301,0.0014903432,0.0055375635,0.031361964,0.0053377734,0.012312182,0.023493523,0.006907032,0.01609045,0.0048080045,0.078936756,0.0001236629
-324,0.0067146374,0.0029000733,0.020374818,0.021407919,0.05323734,0.02146905,0.036829762,0.028965706,0.0152799515,0.0056675375,0.01703888,0.019869767,0.008843052,0.0033126827,0.014568258,0.008334153,0.0019811166,0.020814873,0.3715813,0.016337372,0.016508821,0.02125243,0.018924786,0.019112749,0.015711375,0.011744891,0.018144015,0.0014867297,0.005690064,0.030845325,0.0053457255,0.011996507,0.022839937,0.007373127,0.015912509,0.0048595234,0.07672325,8.629707e-05
-323,0.007596535,0.0028130272,0.022677913,0.021292772,0.06360543,0.024242451,0.046131507,0.027947752,0.016523175,0.0069253515,0.01832448,0.023806283,0.010494857,0.0040619387,0.015578507,0.0103103,0.0020284695,0.02163649,0.3052601,0.01722944,0.017918807,0.02339651,0.020920962,0.020937698,0.016926492,0.012349126,0.01980034,0.0015046427,0.005543914,0.03470379,0.004488102,0.013436598,0.026725931,0.006888863,0.01725492,0.005196768,0.0835198,0.0001153932
-322,0.0059207976,0.0026774388,0.017830815,0.017713986,0.05026753,0.019770028,0.03422956,0.024028758,0.01420695,0.0047653546,0.015691029,0.018605785,0.007660311,0.0032654544,0.014144819,0.007144778,0.00191691,0.01913034,0.41473195,0.015379006,0.015257608,0.019339688,0.017650412,0.017502991,0.014604221,0.011142321,0.016652899,0.001537042,0.005339935,0.027187323,0.0075568357,0.01113127,0.021319775,0.007652112,0.014707443,0.0045747356,0.07776188,7.3435345e-05
-321,0.0140074445,0.0043626493,0.021146268,0.018427456,0.106614575,0.035697583,0.06837941,0.03331972,0.017833024,0.01211069,0.032629862,0.027073622,0.017192159,0.0047592144,0.023604358,0.018342776,0.0027297242,0.019093914,0.12325417,0.01796717,0.020256111,0.02930368,0.025488991,0.026468677,0.017943181,0.0131276855,0.02437636,0.0014871076,0.0021326104,0.03484173,0.0026897204,0.02149356,0.03203275,0.008546687,0.019409347,0.007511615,0.094344445,0.0002533174
-320,0.008657947,0.0028055923,0.02365912,0.018392486,0.07387554,0.026504287,0.04988288,0.028866563,0.017122382,0.0076658363,0.019588046,0.025904518,0.010764278,0.0045937784,0.018256955,0.011172932,0.0021092813,0.022041833,0.25935453,0.017989513,0.018724032,0.025376324,0.02286933,0.022389796,0.017538406,0.012712288,0.02105573,0.0015384033,0.004300071,0.03541538,0.0044866875,0.014917426,0.027116494,0.0073105777,0.018000992,0.0053536654,0.09168601,0.00029946223
-319,0.011161818,0.0032666135,0.023284145,0.015735336,0.09302322,0.031241514,0.056963485,0.029759021,0.018008953,0.010248772,0.024885802,0.02993086,0.014122036,0.0052673947,0.021280438,0.014910844,0.0022335208,0.02170619,0.17917217,0.01853521,0.02006804,0.02856452,0.025476953,0.025005762,0.01835325,0.013480331,0.023257846,0.0014830837,0.0030977577,0.035984714,0.0035144181,0.018163715,0.030340655,0.0077981628,0.019247884,0.005944561,0.09548106,0.00092126266
-318,0.015049679,0.0043321894,0.01973489,0.011024602,0.13301703,0.03591506,0.0661649,0.037386235,0.01743175,0.01322094,0.03862944,0.03387567,0.016842123,0.006090184,0.02125068,0.01896021,0.0025546502,0.017869947,0.09478262,0.018012162,0.019952092,0.02834747,0.026186045,0.026451968,0.017462675,0.013233128,0.024142416,0.0016264475,0.0017977303,0.03068591,0.0026650662,0.022328397,0.030609338,0.009148689,0.019068746,0.008806238,0.0953427,0.0021783393
-317,0.014416994,0.009735759,0.004177851,0.0026700788,0.073252715,0.026041554,0.11722196,0.01286337,0.011200793,0.018088324,0.027015932,0.016743934,0.012030566,0.024149021,0.011414911,0.022815695,0.0041760113,0.0021206816,0.017529042,0.011889883,0.013194522,0.003214944,0.016573293,0.010532619,0.01090076,0.009778707,0.016567154,0.010096685,0.002619254,0.017059127,0.0032404216,0.029799039,0.014989353,0.01473196,0.014653946,0.32273823,0.049754974,0.00065422757
-316,0.014388167,0.009486288,0.0049738237,0.003025303,0.110033594,0.029951602,0.13525227,0.014497924,0.012447623,0.019996148,0.031071415,0.02293944,0.013654941,0.027427765,0.011239874,0.02422956,0.0036309902,0.0027796193,0.019284416,0.013955627,0.014749181,0.004064162,0.019128414,0.0149838105,0.012126579,0.0098263,0.01871495,0.007732215,0.0023249853,0.018741785,0.0030533473,0.032319,0.018159736,0.0152173005,0.015447132,0.20896043,0.060184233,0.00047706842
-315,0.013281653,0.009685911,0.0038390553,0.002638471,0.07154672,0.025226273,0.111333385,0.0151719395,0.010800702,0.017530737,0.024988357,0.016387688,0.012051466,0.02594938,0.010113927,0.021755408,0.0044425754,0.0019593332,0.017920932,0.011701317,0.012784074,0.003256269,0.016188279,0.010419022,0.010520535,0.009228346,0.016125076,0.010928,0.0027983966,0.01585243,0.003190858,0.028323663,0.014647584,0.014240117,0.013802883,0.34071752,0.04865171,0.000458392
-314,0.013379441,0.008439424,0.006452399,0.003337912,0.15488759,0.033206463,0.12651229,0.015458738,0.013138075,0.020482194,0.035671752,0.027588164,0.014853593,0.026136858,0.011886925,0.024936935,0.0032062079,0.0032172913,0.021752963,0.01537231,0.015790576,0.0050065503,0.020943306,0.020127652,0.012872163,0.009149589,0.020276299,0.005867751,0.0021045965,0.02036066,0.0029139325,0.03612151,0.020458965,0.015336774,0.0158885,0.12730646,0.06955717,0.00031467451
