,start,end,site_id,duration_days
0,2000-09-12 00:00:00,2000-09-23 23:30:00,FR-Pue,12.0
1,2000-11-16 00:00:00,2000-11-28 23:30:00,FR-Pue,13.0
2,2009-08-18 00:00:00,2009-09-01 23:30:00,FR-Pue,15.0
3,2010-06-29 00:00:00,2010-07-08 23:30:00,FR-Pue,10.0
4,2010-12-06 00:00:00,2010-12-18 23:30:00,FR-Pue,13.0
5,2011-08-05 00:00:00,2011-08-31 23:30:00,FR-Pue,27.0
6,2012-01-09 00:00:00,2012-03-10 23:30:00,FR-Pue,62.0
0,1999-07-20 00:00:00,1999-08-09 23:30:00,US-NR1,21.0
1,2003-09-03 00:00:00,2003-09-12 23:30:00,US-NR1,10.0
2,2004-08-07 00:00:00,2004-08-18 23:30:00,US-NR1,12.0
3,2005-04-28 00:00:00,2005-05-10 23:30:00,US-NR1,13.0
4,2006-12-21 00:00:00,2007-01-02 23:30:00,US-NR1,13.0
5,2010-05-11 00:00:00,2010-05-23 23:30:00,US-NR1,13.0
0,2006-11-17 00:00:00,2006-11-28 23:30:00,US-SRM,12.0
1,2008-05-23 00:00:00,2008-06-01 23:30:00,US-SRM,10.0
2,2013-03-01 00:00:00,2013-03-12 23:30:00,US-SRM,12.0
3,2013-06-13 00:00:00,2013-06-22 23:30:00,US-SRM,10.0
0,2004-05-23 00:00:00,2004-07-06 23:30:00,US-Ton,45.0
1,2007-01-15 00:00:00,2007-02-22 23:30:00,US-Ton,39.0
2,2007-06-03 00:00:00,2007-06-12 23:30:00,US-Ton,10.0
3,2010-12-24 00:00:00,2011-01-03 23:30:00,US-Ton,11.0
4,2011-01-11 00:00:00,2011-01-21 23:30:00,US-Ton,11.0
5,2011-04-03 00:00:00,2011-04-12 23:30:00,US-Ton,10.0
6,2013-04-25 00:00:00,2013-05-27 23:30:00,US-Ton,33.0
0,2005-01-03 00:00:00,2005-02-10 23:30:00,US-Var,39.0
1,2010-03-25 00:00:00,2010-04-09 23:30:00,US-Var,16.0
0,2003-05-08 00:00:00,2003-05-24 23:30:00,US-ARM,17.0
1,2003-06-11 00:00:00,2003-06-20 23:30:00,US-ARM,10.0
2,2003-09-27 00:00:00,2003-10-10 23:30:00,US-ARM,14.0
3,2005-05-25 00:00:00,2006-01-08 23:30:00,US-ARM,229.0
4,2010-03-16 00:00:00,2010-04-06 23:30:00,US-ARM,22.0
5,2012-08-25 00:00:00,2012-09-17 23:30:00,US-ARM,24.0
6,2014-09-08 00:00:00,2014-10-19 23:30:00,US-ARM,42.0
7,2015-02-27 00:00:00,2015-03-13 23:30:00,US-ARM,15.0
8,2015-04-09 00:00:00,2015-05-01 23:30:00,US-ARM,23.0
9,2015-06-24 00:00:00,2015-07-22 23:30:00,US-ARM,29.0
10,2015-10-23 00:00:00,2015-11-02 23:30:00,US-ARM,11.0
11,2016-03-08 00:00:00,2016-03-17 23:30:00,US-ARM,10.0
0,2003-03-02 00:00:00,2003-03-18 23:30:00,US-Me2,17.0
1,2003-04-03 00:00:00,2003-04-13 23:30:00,US-Me2,11.0
2,2003-04-20 00:00:00,2003-05-20 23:30:00,US-Me2,31.0
3,2003-11-04 00:00:00,2004-02-11 23:30:00,US-Me2,100.0
4,2005-12-30 00:00:00,2006-01-28 23:30:00,US-Me2,30.0
5,2006-02-10 00:00:00,2006-04-24 23:30:00,US-Me2,74.0
6,2006-05-07 00:00:00,2006-05-30 23:30:00,US-Me2,24.0
7,2006-07-13 00:00:00,2006-07-31 23:30:00,US-Me2,19.0
8,2007-07-12 00:00:00,2007-07-26 23:30:00,US-Me2,15.0
9,2007-08-31 00:00:00,2007-09-16 23:30:00,US-Me2,17.0
10,2007-11-18 00:00:00,2007-12-11 23:30:00,US-Me2,24.0
11,2008-02-22 00:00:00,2008-03-03 23:30:00,US-Me2,11.0
12,2008-09-08 00:00:00,2008-10-09 23:30:00,US-Me2,32.0
13,2009-08-30 00:00:00,2009-09-08 23:30:00,US-Me2,10.0
14,2010-02-17 00:00:00,2010-03-03 23:30:00,US-Me2,15.0
15,2010-12-19 00:00:00,2010-12-30 23:30:00,US-Me2,12.0
16,2011-01-16 00:00:00,2011-03-07 23:30:00,US-Me2,51.0
17,2011-03-25 00:00:00,2011-04-14 23:30:00,US-Me2,21.0
18,2011-11-10 00:00:00,2012-04-08 23:30:00,US-Me2,151.0
19,2012-09-16 00:00:00,2012-09-25 23:30:00,US-Me2,10.0
20,2012-10-22 00:00:00,2012-12-31 23:30:00,US-Me2,71.0
21,2013-03-07 00:00:00,2013-04-12 23:30:00,US-Me2,37.0
22,2013-10-15 00:00:00,2013-10-25 23:30:00,US-Me2,11.0
23,2014-02-23 00:00:00,2014-03-07 23:30:00,US-Me2,13.0
24,2014-04-12 00:00:00,2014-04-21 23:30:00,US-Me2,10.0
25,2014-11-15 00:00:00,2014-12-03 23:30:00,US-Me2,19.0
26,2015-05-17 00:00:00,2015-05-26 23:30:00,US-Me2,10.0
27,2015-09-07 00:00:00,2015-09-18 23:30:00,US-Me2,12.0
28,2017-01-08 00:00:00,2017-04-13 23:30:00,US-Me2,96.0
29,2017-05-25 00:00:00,2017-06-07 23:30:00,US-Me2,14.0
30,2017-06-11 00:00:00,2017-07-12 23:30:00,US-Me2,32.0
0,2008-06-30 00:00:00,2008-07-09 23:30:00,US-UMB,10.0
1,2016-01-22 00:00:00,2016-01-31 23:30:00,US-UMB,10.0
0,2007-05-31 00:00:00,2007-06-25 23:30:00,US-Vcp,26.0
1,2008-05-02 00:00:00,2008-06-06 23:30:00,US-Vcp,36.0
2,2008-09-23 00:00:00,2008-11-04 23:30:00,US-Vcp,43.0
3,2009-05-24 00:00:00,2009-06-27 23:30:00,US-Vcp,35.0
4,2010-03-06 00:00:00,2010-04-06 23:30:00,US-Vcp,32.0
