,start,end,duration_days,site_id
0,2000-07-26 00:00:00,2000-09-11 23:30:00,48,FR-Pue
1,2000-09-24 00:00:00,2000-11-15 23:30:00,53,FR-Pue
2,2000-11-29 00:00:00,2009-08-17 23:30:00,3184,FR-Pue
3,2009-09-02 00:00:00,2010-06-28 23:30:00,300,FR-Pue
4,2010-07-09 00:00:00,2010-12-05 23:30:00,150,FR-Pue
5,2010-12-19 00:00:00,2011-08-04 23:30:00,229,FR-Pue
6,2011-09-01 00:00:00,2012-01-08 23:30:00,130,FR-Pue
7,2012-03-11 00:00:00,2014-12-31 23:30:00,1026,FR-Pue
0,1999-05-02 00:00:00,1999-07-19 23:30:00,79,US-NR1
1,1999-08-10 00:00:00,2003-09-02 23:30:00,1485,US-NR1
2,2003-09-13 00:00:00,2004-08-06 23:30:00,329,US-NR1
3,2004-08-19 00:00:00,2005-04-27 23:30:00,252,US-NR1
4,2005-05-11 00:00:00,2006-12-20 23:30:00,589,US-NR1
5,2007-01-03 00:00:00,2010-05-10 23:30:00,1224,US-NR1
6,2010-05-24 00:00:00,2014-12-31 23:30:00,1683,US-NR1
0,2004-01-01 00:00:00,2006-11-16 23:30:00,1051,US-SRM
1,2006-11-29 00:00:00,2008-05-22 23:30:00,541,US-SRM
2,2008-06-02 00:00:00,2013-02-28 23:30:00,1733,US-SRM
3,2013-03-13 00:00:00,2013-06-12 23:30:00,92,US-SRM
4,2013-06-23 00:00:00,2014-12-31 23:30:00,557,US-SRM
0,2001-05-24 00:00:00,2004-05-22 23:30:00,1095,US-Ton
1,2004-07-07 00:00:00,2007-01-14 23:30:00,922,US-Ton
2,2007-02-23 00:00:00,2007-06-02 23:30:00,100,US-Ton
3,2007-06-13 00:00:00,2010-12-23 23:30:00,1290,US-Ton
4,2011-01-04 00:00:00,2011-01-10 23:30:00,7,US-Ton
5,2011-01-22 00:00:00,2011-04-02 23:30:00,71,US-Ton
6,2011-04-13 00:00:00,2013-04-24 23:30:00,743,US-Ton
7,2013-05-28 00:00:00,2014-12-31 23:30:00,583,US-Ton
0,2000-11-01 00:00:00,2005-01-02 23:30:00,1524,US-Var
1,2005-02-11 00:00:00,2010-03-24 23:30:00,1868,US-Var
2,2010-04-10 00:00:00,2014-12-31 23:30:00,1727,US-Var
0,2004-05-07 00:00:00,2014-12-31 23:30:00,3891,US-Wkg
0,2003-01-01 00:00:00,2003-05-07 23:30:00,127,US-ARM
1,2003-05-25 00:00:00,2003-06-10 23:30:00,17,US-ARM
2,2003-06-21 00:00:00,2003-09-26 23:30:00,98,US-ARM
3,2003-10-11 00:00:00,2005-05-24 23:30:00,592,US-ARM
4,2006-01-09 00:00:00,2010-03-15 23:30:00,1527,US-ARM
5,2010-04-07 00:00:00,2012-08-24 23:30:00,871,US-ARM
6,2012-09-18 00:00:00,2014-09-07 23:30:00,720,US-ARM
7,2014-10-20 00:00:00,2015-02-26 23:30:00,130,US-ARM
8,2015-03-14 00:00:00,2015-04-08 23:30:00,26,US-ARM
9,2015-05-02 00:00:00,2015-06-23 23:30:00,53,US-ARM
10,2015-07-23 00:00:00,2015-10-22 23:30:00,92,US-ARM
11,2015-11-03 00:00:00,2016-03-07 23:30:00,126,US-ARM
12,2016-03-18 00:00:00,2018-12-31 23:30:00,1019,US-ARM
0,2003-01-26 00:00:00,2003-03-01 23:30:00,35,US-Me2
1,2003-03-19 00:00:00,2003-04-02 23:30:00,15,US-Me2
2,2003-04-14 00:00:00,2003-04-19 23:30:00,6,US-Me2
3,2003-05-21 00:00:00,2003-11-03 23:30:00,167,US-Me2
4,2004-02-12 00:00:00,2005-12-29 23:30:00,687,US-Me2
5,2006-01-29 00:00:00,2006-02-09 23:30:00,12,US-Me2
6,2006-04-25 00:00:00,2006-05-06 23:30:00,12,US-Me2
7,2006-05-31 00:00:00,2006-07-12 23:30:00,43,US-Me2
8,2006-08-01 00:00:00,2007-07-11 23:30:00,345,US-Me2
9,2007-07-27 00:00:00,2007-08-30 23:30:00,35,US-Me2
10,2007-09-17 00:00:00,2007-11-17 23:30:00,62,US-Me2
11,2007-12-12 00:00:00,2008-02-21 23:30:00,72,US-Me2
12,2008-03-04 00:00:00,2008-09-07 23:30:00,188,US-Me2
13,2008-10-10 00:00:00,2009-08-29 23:30:00,324,US-Me2
14,2009-09-09 00:00:00,2010-02-16 23:30:00,161,US-Me2
15,2010-03-04 00:00:00,2010-12-18 23:30:00,290,US-Me2
16,2010-12-31 00:00:00,2011-01-15 23:30:00,16,US-Me2
17,2011-03-08 00:00:00,2011-03-24 23:30:00,17,US-Me2
18,2011-04-15 00:00:00,2011-11-09 23:30:00,209,US-Me2
19,2012-04-09 00:00:00,2012-09-15 23:30:00,160,US-Me2
20,2012-09-26 00:00:00,2012-10-21 23:30:00,26,US-Me2
21,2013-01-01 00:00:00,2013-03-06 23:30:00,65,US-Me2
22,2013-04-13 00:00:00,2013-10-14 23:30:00,185,US-Me2
23,2013-10-26 00:00:00,2014-02-22 23:30:00,120,US-Me2
24,2014-03-08 00:00:00,2014-04-11 23:30:00,35,US-Me2
25,2014-04-22 00:00:00,2014-11-14 23:30:00,207,US-Me2
26,2014-12-04 00:00:00,2015-05-16 23:30:00,164,US-Me2
27,2015-05-27 00:00:00,2015-09-06 23:30:00,103,US-Me2
28,2015-09-19 00:00:00,2017-01-07 23:30:00,477,US-Me2
29,2017-04-14 00:00:00,2017-05-24 23:30:00,41,US-Me2
30,2017-06-08 00:00:00,2017-06-10 23:30:00,3,US-Me2
31,2017-07-13 00:00:00,2017-12-31 23:30:00,172,US-Me2
0,2007-01-01 00:00:00,2008-06-29 23:30:00,546,US-UMB
1,2008-07-10 00:00:00,2016-01-21 23:30:00,2752,US-UMB
2,2016-02-01 00:00:00,2017-12-31 23:30:00,700,US-UMB
