year,month,SITE_ID,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,MODIS_LC,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,MODIS_PFT,gap_flag_month
2009,12,AR-SLu,154.0,40.0,336.0,0.20432499,-0.013386652,302.46967,0.15152083,7.0,0.035415366,0.0,0.49,1.2,313.84,293.58,SH,1.0
2010,1,AR-SLu,154.0,40.0,336.0,0.20432499,-0.013386652,302.46967,0.15152083,7.0,0.035415366,0.0,0.49,1.2,313.84,293.58,SH,0.0
2010,2,AR-SLu,120.0,46.0,258.0,0.1455303,-0.008937791,298.78864,0.16655783,7.0,0.000400779,0.0,0.43,0.9,309.86,292.96,SH,0.0
2010,3,AR-SLu,107.0,31.0,231.0,0.10980482,-0.008132122,297.54816,0.16407675,7.0,-0.022856813,0.0,0.41,0.8,309.18,290.52,SH,0.0
2010,4,AR-SLu,81.0,27.0,175.0,0.076728895,-0.00675834,291.69604,0.12401654,7.0,-0.042024087,0.0,0.36,0.5,303.24,286.34,SH,0.0
2010,5,AR-SLu,56.0,19.0,122.0,0.066020064,-0.004725121,287.05652,0.14272605,7.0,-0.010640754,0.0,0.37,0.5,296.2,277.82,SH,0.0
2010,6,AR-SLu,48.0,15.0,105.0,0.055993885,-0.003966339,284.32104,0.15315518,7.0,-0.0314929,0.0,0.33,0.4,293.18,276.8,SH,0.0
2010,7,AR-SLu,58.0,15.0,129.0,0.044577617,-0.004890211,282.39343,0.11506776,7.0,-0.07298639,0.0,0.32,0.4,292.12,271.64,SH,0.0
2010,8,AR-SLu,72.0,23.0,158.0,0.03940548,-0.006607018,285.98975,0.12942678,7.0,-0.12023627,0.0,0.26,0.3,298.98,276.72,SH,0.0
2010,9,AR-SLu,92.0,30.0,202.0,0.043048184,-0.007369228,289.56998,0.14007734,7.0,-0.13769455,0.0,0.25,0.4,303.02,281.76,SH,0.0
2010,10,AR-SLu,124.0,35.0,271.0,0.076557115,-0.009151526,292.5633,0.16722338,7.0,-0.10536736,0.0,0.32,0.6,305.08,283.92,SH,0.0
2010,11,AR-SLu,147.0,39.0,322.0,0.10822074,-0.01190903,298.02554,0.14072989,7.0,-0.06737776,0.0,0.38,0.8,311.82,288.0,SH,0.0
2010,12,AR-SLu,157.0,38.0,344.0,0.09730604,-0.014495663,303.0575,0.14455558,7.0,-0.08736732,0.0,0.35,0.7,316.2,291.4,SH,0.0
2011,1,AR-SLu,153.0,42.0,333.0,0.12373857,-0.012760364,302.67914,0.15524794,7.0,-0.05742977,0.0,0.39,0.8,314.56,292.3,SH,0.0
2011,2,AR-SLu,123.0,40.0,266.0,0.17441228,-0.009652332,298.49115,0.18353738,7.0,0.015588671,0.0,0.46,1.0,308.54,290.96,SH,0.0
2010,2,AR-Vir,117.0,36.0,250.0,0.35580766,-0.00634148,297.72784,0.32501653,9.0,0.30432472,0.0,0.78,3.5,302.72,292.26,SA,1.0
