date,SITE_ID,year,month,TIMESTAMP,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,MODIS_LC,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,MODIS_PFT
2010-01-01,AR-SLu,2010.0,1.0,201001.0,154.0,40.0,336.0,0.20432499,-0.013386652,302.46967,0.15152083,7.0,0.035415366,0.0,0.49,1.2,313.84,293.58,SH
2010-02-01,AR-SLu,2010.0,2.0,201002.0,120.0,46.0,258.0,0.1455303,-0.008937791,298.78864,0.16655783,7.0,0.000400779,0.0,0.43,0.9,309.86,292.96,SH
2010-03-01,AR-SLu,2010.0,3.0,201003.0,107.0,31.0,231.0,0.10980482,-0.008132122,297.54816,0.16407675,7.0,-0.022856813,0.0,0.41,0.8,309.18,290.52,SH
2010-04-01,AR-SLu,2010.0,4.0,201004.0,81.0,27.0,175.0,0.076728895,-0.00675834,291.69604,0.12401654,7.0,-0.042024087,0.0,0.36,0.5,303.24,286.34,SH
2010-05-01,AR-SLu,2010.0,5.0,201005.0,56.0,19.0,122.0,0.066020064,-0.004725121,287.05652,0.14272605,7.0,-0.010640754,0.0,0.37,0.5,296.2,277.82,SH
2010-06-01,AR-SLu,2010.0,6.0,201006.0,48.0,15.0,105.0,0.055993885,-0.003966339,284.32104,0.15315518,7.0,-0.0314929,0.0,0.33,0.4,293.18,276.8,SH
2010-07-01,AR-SLu,2010.0,7.0,201007.0,58.0,15.0,129.0,0.044577617,-0.004890211,282.39343,0.11506776,7.0,-0.07298639,0.0,0.32,0.4,292.12,271.64,SH
2010-08-01,AR-SLu,2010.0,8.0,201008.0,72.0,23.0,158.0,0.03940548,-0.006607018,285.98975,0.12942678,7.0,-0.12023627,0.0,0.26,0.3,298.98,276.72,SH
2010-09-01,AR-SLu,2010.0,9.0,201009.0,92.0,30.0,202.0,0.043048184,-0.007369228,289.56998,0.14007734,7.0,-0.13769455,0.0,0.25,0.4,303.02,281.76,SH
2010-10-01,AR-SLu,2010.0,10.0,201010.0,124.0,35.0,271.0,0.076557115,-0.009151526,292.5633,0.16722338,7.0,-0.10536736,0.0,0.32,0.6,305.08,283.92,SH
2010-11-01,AR-SLu,2010.0,11.0,201011.0,147.0,39.0,322.0,0.10822074,-0.01190903,298.02554,0.14072989,7.0,-0.06737776,0.0,0.38,0.8,311.82,288.0,SH
2010-12-01,AR-SLu,2010.0,12.0,201012.0,157.0,38.0,344.0,0.09730604,-0.014495663,303.0575,0.14455558,7.0,-0.08736732,0.0,0.35,0.7,316.2,291.4,SH
2011-01-01,AR-SLu,2011.0,1.0,201101.0,153.0,42.0,333.0,0.12373857,-0.012760364,302.67914,0.15524794,7.0,-0.05742977,0.0,0.39,0.8,314.56,292.3,SH
2011-02-01,AR-SLu,2011.0,2.0,201102.0,123.0,40.0,266.0,0.17441228,-0.009652332,298.49115,0.18353738,7.0,0.015588671,0.0,0.46,1.0,308.54,290.96,SH
2011-03-01,AR-SLu,2011.0,3.0,201103.0,114.0,34.0,247.0,0.18305057,-0.009239569,297.05414,0.1653738,7.0,0.057314258,0.0,0.52,1.1,307.88,290.2,SH
2010-03-01,AR-Vir,2010.0,3.0,201003.0,117.0,36.0,250.0,0.35580766,-0.00634148,297.72784,0.32501653,9.0,0.30432472,0.0,0.78,3.5,302.72,292.26,SA
2010-04-01,AR-Vir,2010.0,4.0,201004.0,80.0,29.0,172.0,0.2839798,-0.005368337,293.50464,0.32063323,9.0,0.2673957,0.0,0.73,2.8,298.5,287.4,SA
2010-10-01,AR-Vir,2010.0,10.0,201010.0,119.0,41.0,260.0,0.25308308,-0.006693386,292.3426,0.37036404,9.0,0.13657345,0.0,0.64,2.4,301.3,285.58,SA
2010-11-01,AR-Vir,2010.0,11.0,201011.0,143.0,40.0,313.0,0.31803423,-0.009438761,296.23062,0.30845198,9.0,0.14476806,0.0,0.67,2.8,304.5,287.16,SA
2010-12-01,AR-Vir,2010.0,12.0,201012.0,132.0,48.0,282.0,0.3697338,-0.007714525,298.17078,0.34871957,9.0,0.18570562,0.0,0.7,3.2,306.02,291.66,SA
2011-06-01,AR-Vir,2011.0,6.0,201106.0,49.0,21.0,106.0,0.21136451,-0.002709828,287.3152,0.37292463,9.0,0.21640767,0.0,0.7,2.1,292.0,281.88,SA
2011-07-01,AR-Vir,2011.0,7.0,201107.0,55.0,24.0,119.0,0.18242584,-0.003015079,286.8988,0.386298,9.0,0.17755991,0.0,0.67,2.0,291.5,280.04,SA
2011-08-01,AR-Vir,2011.0,8.0,201108.0,72.0,28.0,158.0,0.18276119,-0.004576981,288.80756,0.38348413,9.0,0.11838274,0.0,0.66,2.2,294.08,282.52,SA
2011-09-01,AR-Vir,2011.0,9.0,201109.0,101.0,32.0,222.0,0.21006429,-0.006154791,291.2943,0.3647775,9.0,0.10540362,0.0,0.61,2.1,300.92,284.12,SA
2011-10-01,AR-Vir,2011.0,10.0,201110.0,117.0,37.0,255.0,0.28600556,-0.006816447,294.14105,0.37912953,9.0,0.15533045,0.0,0.68,2.6,302.04,287.4,SA
2011-11-01,AR-Vir,2011.0,11.0,201111.0,137.0,43.0,297.0,0.34715226,-0.007331189,295.76166,0.36139324,9.0,0.19298722,0.0,0.7,3.0,304.52,289.4,SA
2012-01-01,AR-Vir,2012.0,1.0,201201.0,150.0,47.0,324.0,0.3494609,-0.01105988,301.64825,0.26168758,9.0,0.16564138,0.0,0.69,3.1,309.94,292.14,SA
2012-02-01,AR-Vir,2012.0,2.0,201202.0,121.0,52.0,255.0,0.26720712,-0.00967826,302.7314,0.2692186,9.0,0.1188409,0.0,0.61,2.5,311.02,292.78,SA
2012-03-01,AR-Vir,2012.0,3.0,201203.0,119.0,36.0,259.0,0.27218473,-0.008565038,299.28296,0.26918423,9.0,0.15375136,0.0,0.71,2.8,307.62,290.46,SA
2012-04-01,AR-Vir,2012.0,4.0,201204.0,82.0,30.0,175.0,0.23835534,-0.00503153,293.89178,0.3200102,9.0,0.16134018,0.0,0.7,2.5,300.2,287.28,SA
2012-05-01,AR-Vir,2012.0,5.0,201205.0,72.0,22.0,155.0,0.21216469,-0.004194588,291.5248,0.29509848,9.0,0.16418244,0.0,0.73,2.3,298.18,285.38,SA
2002-01-31,AT-Neu,2002.0,1.0,200201.0,26.0,11.0,58.0,-0.003479731,-0.00141792,260.66064,0.27212936,5.0,0.3542498,98.03226,0.16,0.2,267.84,265.08,MF
2002-02-28,AT-Neu,2002.000000052154,1.952900976629949,200201.95290619205,47.557642892633226,16.292999929688254,108.01033253535232,0.02527061490599905,-0.003881683370506379,265.8798166334508,0.27212936,5.000000000000001,0.3510851787720923,76.89668548111003,0.3438161334824273,0.6540922261086701,274.77525434978094,270.23486257055276,MF
2002-03-31,AT-Neu,2002.0,3.0,200203.0,67.0,30.0,152.0,0.031235164,-0.006517723,269.84586,0.27212936,5.0,0.28468204,72.29032,0.4,0.8,278.38,271.04,MF
2002-04-30,AT-Neu,2002.0,4.0,200204.0,79.0,48.0,177.0,0.047175948,-0.008353777,272.3154,0.27212936,5.0,0.19794841,72.7,0.38,0.9,279.74,268.84,MF
2002-05-31,AT-Neu,2002.0,5.0,200205.0,80.0,54.0,173.0,0.24571215,-0.007596985,276.5257,0.27212936,5.0,0.27997357,12.32258,0.64,2.4,288.84,274.56,MF
2002-06-30,AT-Neu,2002.0,6.0,200206.0,112.0,56.0,249.0,0.33910477,-0.012672886,282.68622,0.28147867,5.0,0.2599248,0.0,0.69,2.7,293.38,281.4,MF
2002-07-31,AT-Neu,2002.0,7.0,200207.0,95.0,50.0,208.0,0.34887245,-0.011351332,283.5834,0.2770454,5.0,0.31352216,0.0,0.74,3.3,293.44,278.86,MF
2002-08-31,AT-Neu,2002.0,8.0,200208.0,84.0,44.0,186.0,0.26559213,-0.009925142,282.76358,0.2741223,5.0,0.2887128,0.0,0.72,2.8,292.14,277.74,MF
2002-09-30,AT-Neu,2002.0,9.0,200209.0,64.0,31.0,141.0,0.19242159,-0.007749774,277.3741,0.26633948,5.0,0.30418327,4.133333,0.63,2.3,286.54,274.86,MF
2002-10-31,AT-Neu,2002.0,10.0,200210.0,46.0,21.0,103.0,0.09794027,-0.004792459,272.6443,0.27674684,5.0,0.21516412,2.387097,0.62,1.3,282.38,272.02,MF
2002-11-30,AT-Neu,2002.0,11.0,200211.0,20.0,12.0,44.0,0.05626147,-0.001307979,270.5769,0.28952578,5.0,0.17758535,10.366667,0.42,0.7,274.86,269.6,MF
2002-12-31,AT-Neu,2002.0,12.0,200212.0,17.0,9.0,37.0,0.019383058,-0.000649639,265.8846,0.29766015922702227,5.0,0.22442947,63.51613,0.19,0.3,268.34,265.26,MF
2003-01-31,AT-Neu,2003.0,1.0,200301.0,21.0,11.0,47.0,0.001766447,-0.000908323,261.05444,0.29989322986640193,5.0,0.3542498,89.451614,0.13,0.1,264.44,261.7,MF
2003-02-28,AT-Neu,2003.0,2.0,200302.0,43.0,17.0,100.0,-0.003396501,-0.003581472,260.71283,0.2968378962780446,5.0,0.67299956,99.03571,0.19,0.2,266.12,262.84,MF
2003-03-31,AT-Neu,2002.9651996605203,3.457935730137444,200299.9779017821,66.80596214200573,30.998757080228806,152.62103122123844,0.020893976078778687,-0.0066977548246687545,265.2774761107343,0.291628335626111,5.0,0.5074744592321249,71.46613894708558,0.3005774532086518,0.3726029053158726,272.15089548276,264.5599105585324,MF
2003-04-30,AT-Neu,2003.0,4.0,200304.0,85.0,45.0,191.0,0.105900876,-0.00847828,271.47125,0.2886679988356238,5.0,0.22372167,29.233334,0.47,1.1,281.04,268.22,MF
2003-05-31,AT-Neu,2003.0,5.0,200305.0,100.0,53.0,224.0,0.25487185,-0.009436399,277.3662,0.28776374,5.0,0.25669459,0.0,0.69,2.6,291.24,276.16,MF
2003-06-30,AT-Neu,2003.0,6.0,200306.0,115.0,56.0,255.0,0.30054885,-0.014684022,284.92883,0.28699058,5.0,0.25806665,0.0,0.71,2.9,294.82,284.1,MF
2003-07-31,AT-Neu,2003.0,7.0,200307.0,106.0,51.0,235.0,0.3067095,-0.013798915,284.37164,0.2772571,5.0,0.27183333,0.0,0.73,3.0,295.28,281.16,MF
2003-08-31,AT-Neu,2003.0,8.0,200308.0,98.0,43.0,218.0,0.21934868,-0.016004711,285.89185,0.2741223,5.0,0.19616462,0.0,0.67,2.3,298.84,283.58,MF
2003-09-30,AT-Neu,2003.0,9.0,200309.0,73.0,29.0,164.0,0.15882345,-0.009941816,278.83917,0.26633948,5.0,0.21167946,0.0,0.67,1.9,290.54,275.88,MF
2003-10-31,AT-Neu,2003.0,10.0,200310.0,42.0,21.0,92.0,0.084957235,-0.003932513,270.21954,0.27674684,5.0,0.25726876,19.709677,0.53,1.0,279.24,267.44,MF
2003-11-30,AT-Neu,2003.0,11.0,200311.0,27.0,12.0,60.0,0.042884283,-0.00216873,269.90256,0.28952578,5.0,0.1975288,13.633333,0.46,0.8,279.86,269.14,MF
2003-12-31,AT-Neu,2003.0,12.0,200312.0,16.0,9.0,35.0,0.010589608,-0.000564225,262.92627,0.29691133238114387,5.0,0.22442947,57.83871,0.29,0.4,270.6,263.46,MF
2004-01-31,AT-Neu,2003.267586353206,9.798083287961425,200336.55671860857,24.538952593014713,11.805173716111192,55.207538305968626,-0.013733786833410644,-0.0012570150782358434,260.22473160599117,0.29751014989591346,5.000000000000002,0.3744254101863933,96.95732581699055,0.19079134583100427,0.1395584432700603,266.0977682573495,261.43130768065464,MF
