SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
AR-SLu,FLUXNET,2009,2011,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AR-SLu_FLUXNET2015_FULLSET_MM_2009-2011_1-4.csv,False,MF,,-33.4648,-66.4598,San Luis,7,2,BSk,Arid,C3,67.08
AR-Vir,FLUXNET,2009,2012,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AR-Vir_FLUXNET2015_FULLSET_MM_2009-2012_1-4.csv,False,ENF,,-28.2395,-56.1886,Virasoro,14,3,Cfa,Temperate,C3,8.75
AT-Neu,FLUXNET,2002,2012,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AT-Neu_FLUXNET2015_FULLSET_MM_2002-2012_1-4.csv,False,GRA,970.0,47.11667,11.3175,Neustift,26,4,Dfb,Cold,C3,0.0
AU-ASM,FLUXNET,2010,2014,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-ASM_FLUXNET2015_FULLSET_MM_2010-2014_2-4.csv,False,SAV,,-22.283,133.249,Alice Springs,4,2,BWh,Arid,C3,100.0
AU-Ade,FLUXNET,2007,2009,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Ade_FLUXNET2015_FULLSET_MM_2007-2009_1-4.csv,False,WSA,,-13.0769,131.1178,Adelaide River,3,1,Aw,Tropical,C3,79.57
AU-Cpr,FLUXNET,2010,2014,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Cpr_FLUXNET2015_FULLSET_MM_2010-2014_2-4.csv,False,SAV,,-34.0021,140.5891,Calperum,5,2,BWk,Arid,C3,8.91
AU-Cum,FLUXNET,2012,2014,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Cum_FLUXNET2015_FULLSET_MM_2012-2014_2-4.csv,False,EBF,,-33.61518,150.72362,Cumberland Plain,14,3,Cfa,Temperate,C3,40.82
AU-DaP,FLUXNET,2007,2013,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-DaP_FLUXNET2015_FULLSET_MM_2007-2013_2-4.csv,False,GRA,,-14.0633,131.3181,Daly River Savanna,3,1,Aw,Tropical,C3,97.83
AU-DaS,FLUXNET,2008,2014,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-DaS_FLUXNET2015_FULLSET_MM_2008-2014_2-4.csv,False,SAV,,-14.1593,131.3881,Daly River Cleared,3,1,Aw,Tropical,C3,97.83
AU-Dry,FLUXNET,2008,2014,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Dry_FLUXNET2015_FULLSET_MM_2008-2014_2-4.csv,False,SAV,,-15.2588,132.3706,Dry River,3,1,Aw,Tropical,C3,100.0
AU-Emr,FLUXNET,2011,2013,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Emr_FLUXNET2015_FULLSET_MM_2011-2013_1-4.csv,False,GRA,,-23.8587,148.4746,Emerald,6,2,BSh,Arid,mix,35.64
AU-Fog,FLUXNET,2006,2008,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/FLUXNET2015/FLX_AU-Fog_FLUXNET2015_FULLSET_MM_2006-2008_1-4.csv,False,WET,,-12.5452,131.3072,Fogg Dam,3,1,Aw,Tropical,C3,0.0
